positive,negative,date
0.375,0.125,9/22/16
0.875,0.625,9/22/16
0.75,1.375,9/22/16
0.5,0.125,9/23/16
0.0,0.625,9/24/16
5.125,1.0,9/25/16
0.25,0.25,9/26/16
4.5,1.0,9/26/16
3.75,0.625,9/27/16
4.5,1.0,9/27/16
0.125,0.375,9/27/16
0.25,0.0,9/27/16
1.375,0.25,9/27/16
0.75,0.0,9/28/16
3.75,1.0,9/28/16
1.125,0.625,9/29/16
0.625,0.875,9/29/16
3.875,4.75,9/29/16
0.75,0.25,9/29/16
0.5,0.75,9/29/16
0.375,0.75,9/29/16
3.25,1.0,9/29/16
0.125,0.125,9/29/16
0.0,0.625,9/30/16
0.375,0.0,1/1/16
0.625,0.625,1/1/16
1.75,0.25,1/2/16
6.375,3.75,1/3/16
7.125,3.125,1/3/16
3.75,3.5,1/3/16
8.125,7.625,1/3/16
5.375,3.0,1/4/16
7.0,8.875,1/4/16
1.25,0.875,1/4/16
1.0,0.125,1/4/16
4.875,3.25,1/5/16
1.5,0.375,1/5/16
5.375,6.0,1/5/16
0.25,0.375,1/5/16
0.875,0.5,1/5/16
1.125,0.25,1/5/16
0.125,0.75,1/5/16
7.125,6.875,1/6/16
6.875,5.875,1/6/16
1.75,1.0,1/6/16
1.25,1.625,1/6/16
1.75,1.875,1/6/16
8.875,4.75,1/6/16
0.875,0.0,1/6/16
1.625,1.0,1/6/16
1.125,0.0,1/7/16
0.5,0.625,1/7/16
1.0,0.25,1/7/16
0.375,0.0,1/8/16
0.625,0.625,1/8/16
0.75,1.875,1/9/16
12.0,3.125,1/9/16
0.125,0.625,1/9/16
0.25,0.25,1/9/16
0.875,0.375,1/10/16
4.875,7.0,1/10/16
7.0,7.375,1/10/16
4.625,3.875,1/10/16
1.5,0.0,1/10/16
3.75,0.5,1/11/16
9.0,4.5,1/11/16
0.5,0.25,1/11/16
8.0,11.25,1/12/16
2.375,1.125,1/12/16
5.5,5.0,1/12/16
0.0,0.0,1/12/16
2.75,0.75,1/13/16
10.75,8.75,1/13/16
0.5,0.0,1/13/16
0.875,0.25,1/14/16
5.5,5.875,1/15/16
4.0,4.625,1/15/16
10.5,5.5,1/15/16
6.25,6.75,1/15/16
10.125,6.25,1/16/16
8.5,4.75,1/16/16
6.25,4.25,1/16/16
1.0,0.75,1/16/16
6.375,5.0,1/17/16
4.5,5.75,1/17/16
4.625,2.125,1/17/16
0.5,1.875,1/18/16
1.125,0.875,1/18/16
9.875,6.875,1/19/16
6.125,3.625,1/19/16
5.25,5.375,1/19/16
0.5,0.5,1/19/16
0.625,0.0,1/19/16
8.5,7.25,1/20/16
1.875,4.75,1/20/16
4.25,2.625,1/20/16
1.25,3.875,1/20/16
0.875,2.125,1/20/16
6.625,5.25,1/20/16
6.25,4.125,1/20/16
3.0,1.625,1/21/16
0.625,0.5,1/21/16
3.625,5.375,1/22/16
6.0,4.375,1/22/16
10.5,6.75,1/22/16
5.625,6.0,1/22/16
7.125,10.125,1/22/16
0.5,0.25,1/22/16
0.375,0.25,1/22/16
6.125,3.75,1/23/16
8.25,4.75,1/23/16
2.0,2.625,1/23/16
4.0,4.625,1/23/16
6.125,5.75,1/23/16
0.0,0.625,1/23/16
5.0,2.0,1/24/16
1.125,1.5,1/24/16
3.875,10.5,1/24/16
5.375,2.125,1/24/16
9.125,3.875,1/25/16
5.375,10.375,1/25/16
8.625,5.125,1/25/16
7.75,8.375,1/25/16
7.0,6.125,1/25/16
6.375,5.5,1/25/16
0.375,0.0,1/25/16
3.375,1.75,1/25/16
4.875,3.375,1/26/16
0.625,1.5,1/26/16
0.75,0.375,1/26/16
0.875,0.0,1/26/16
2.875,4.375,1/27/16
5.75,3.875,1/27/16
0.0,0.25,1/28/16
0.5,0.625,1/28/16
0.75,0.125,1/28/16
12.25,10.625,1/29/16
7.625,4.375,1/29/16
5.75,3.0,1/29/16
2.125,1.5,1/29/16
0.875,0.375,1/29/16
1.625,0.5,1/30/16
1.625,3.0,1/30/16
1.75,2.875,1/30/16
0.125,0.875,1/30/16
0.0,0.625,1/30/16
6.25,3.0,1/31/16
5.75,3.75,1/31/16
0.625,0.0,2/1/16
3.625,2.75,2/1/16
0.75,1.875,2/1/16
0.625,0.25,2/1/16
3.75,2.5,2/2/16
1.0,2.125,2/2/16
0.0,0.0,2/2/16
5.125,3.875,2/3/16
2.0,2.625,2/3/16
5.625,4.75,2/3/16
0.875,0.375,2/4/16
12.125,5.375,2/4/16
0.125,0.625,2/4/16
0.0,0.0,2/4/16
0.5,0.5,2/4/16
1.625,0.125,2/5/16
4.25,3.375,2/5/16
2.375,1.0,2/5/16
5.875,4.875,2/5/16
2.472,2.153,2/5/16
2.125,1.0,2/6/16
4.375,4.5,2/6/16
9.375,6.5,2/6/16
15.125,8.125,2/6/16
3.875,2.625,2/6/16
4.25,3.375,2/6/16
1.375,0.25,2/7/16
0.75,0.0,2/7/16
2.875,1.875,2/7/16
0.0,0.0,2/7/16
2.625,3.25,2/7/16
1.5,2.25,2/7/16
7.739,4.011,2/7/16
0.722,2.778,2/7/16
0.0,0.0,2/8/16
5.5,9.0,2/8/16
0.5,0.5,2/8/16
1.0,0.0,2/8/16
0.125,0.375,2/8/16
6.375,3.75,2/9/16
2.125,4.0,2/9/16
5.875,5.75,2/9/16
0.5,1.75,2/9/16
1.0,1.125,2/9/16
0.5,1.125,2/9/16
0.5,0.125,2/9/16
3.0,2.25,2/10/16
3.375,2.375,2/10/16
2.25,0.75,2/10/16
0.75,0.0,2/10/16
0.0,0.0,2/10/16
0.25,0.625,2/10/16
1.125,0.5,2/10/16
0.5,0.25,2/11/16
0.375,0.0,2/11/16
0.875,0.25,2/11/16
1.0,0.625,2/11/16
0.0,0.0,2/11/16
0.0,0.0,2/11/16
1.875,0.875,2/11/16
1.25,0.875,2/11/16
8.375,10.75,2/12/16
1.0,0.375,2/12/16
2.0,1.125,2/12/16
1.25,0.375,2/12/16
0.125,0.875,2/12/16
3.625,2.0,2/12/16
2.5,2.0,2/12/16
6.625,3.125,2/12/16
7.625,3.875,2/12/16
0.75,0.0,2/12/16
1.625,2.375,2/12/16
0.375,0.0,2/12/16
2.5,5.875,2/13/16
1.625,2.625,2/13/16
2.75,1.25,2/13/16
2.0,1.25,2/13/16
1.0,1.875,2/13/16
11.75,5.125,2/13/16
0.0,0.625,2/13/16
0.5,0.625,2/13/16
5.625,2.25,2/13/16
0.5,0.0,2/14/16
0.625,0.125,2/14/16
1.125,0.0,2/14/16
1.375,0.375,2/14/16
3.625,0.625,2/14/16
4.0,2.875,2/14/16
1.625,1.375,2/14/16
1.625,1.5,2/14/16
0.5,1.875,2/14/16
6.0,2.875,2/14/16
3.375,4.125,2/14/16
0.625,1.875,2/15/16
4.625,3.625,2/15/16
11.125,3.375,2/15/16
0.75,0.875,2/15/16
0.75,1.0,2/15/16
3.0,1.5,2/16/16
1.125,0.0,2/16/16
0.5,0.125,2/16/16
0.375,1.125,2/16/16
0.625,0.5,2/16/16
1.375,3.125,2/17/16
1.875,1.125,2/17/16
2.375,1.625,2/17/16
3.125,1.25,2/17/16
0.25,0.25,2/17/16
2.5,0.25,2/17/16
1.875,0.875,2/17/16
2.375,0.0,2/17/16
1.0,0.875,2/17/16
1.875,1.125,2/17/16
0.125,0.625,2/18/16
0.0,0.0,2/18/16
0.375,0.0,2/18/16
3.0,3.0,2/19/16
3.375,1.0,2/19/16
3.431,4.569,2/19/16
1.875,0.0,2/19/16
3.25,3.0,2/19/16
0.25,0.0,2/19/16
3.0,0.875,2/20/16
1.5,1.5,2/20/16
1.0,0.0,2/20/16
7.625,5.75,2/20/16
3.25,0.625,2/21/16
1.0,0.125,2/21/16
3.0,1.875,2/21/16
3.75,1.375,2/21/16
12.75,8.125,2/21/16
4.875,2.75,2/21/16
4.5,1.625,2/21/16
0.5,0.5,2/22/16
0.875,0.0,2/22/16
1.125,0.75,2/22/16
0.375,0.125,2/23/16
0.75,0.0,2/23/16
10.875,7.75,2/23/16
0.25,0.5,2/23/16
0.5,0.0,2/23/16
0.75,4.625,2/24/16
2.875,2.25,2/24/16
4.125,2.875,2/24/16
2.5,1.125,2/24/16
2.875,0.875,2/24/16
0.125,0.125,2/24/16
1.125,0.25,2/24/16
2.625,0.375,2/24/16
0.0,0.0,2/25/16
0.125,0.375,2/25/16
0.625,0.875,2/25/16
2.75,1.5,2/26/16
1.0,1.125,2/26/16
2.5,1.875,2/26/16
2.875,1.875,2/26/16
1.125,0.5,2/26/16
7.75,4.25,2/26/16
1.25,0.25,2/26/16
1.875,2.375,2/26/16
1.875,2.25,2/26/16
1.875,1.25,2/26/16
5.0,4.5,2/27/16
1.875,3.25,2/27/16
0.875,0.75,2/27/16
1.375,1.0,2/27/16
0.75,0.375,2/27/16
8.625,4.875,2/27/16
11.375,6.75,2/28/16
4.0,4.25,2/28/16
3.0,3.0,2/28/16
2.375,1.375,2/28/16
6.375,8.375,2/28/16
3.0,4.375,2/29/16
3.625,6.25,2/29/16
2.125,3.875,2/29/16
1.375,1.25,2/29/16
1.625,0.375,2/29/16
1.5,0.0,2/29/16
0.25,0.5,2/29/16
0.125,0.0,3/1/16
0.625,0.0,3/1/16
0.0,0.0,3/1/16
3.625,3.25,3/1/16
1.75,2.875,3/1/16
2.875,1.125,3/1/16
8.25,0.75,3/1/16
8.625,7.125,3/1/16
4.75,3.375,3/2/16
6.75,5.25,3/2/16
7.375,8.75,3/2/16
3.75,1.75,3/2/16
0.5,0.5,3/2/16
0.25,0.0,3/2/16
1.875,1.375,3/2/16
1.375,0.25,3/3/16
0.0,0.0,3/3/16
1.125,0.5,3/3/16
3.75,1.375,3/4/16
2.875,1.25,3/4/16
1.5,0.625,3/4/16
3.375,0.5,3/4/16
0.75,3.75,3/4/16
1.0,0.0,3/4/16
0.875,0.375,3/4/16
0.375,0.125,3/4/16
0.625,0.25,3/5/16
0.5,0.125,3/5/16
0.5,0.375,3/5/16
2.125,0.375,3/5/16
0.625,2.0,3/5/16
3.375,3.625,3/6/16
2.625,2.125,3/6/16
2.375,3.625,3/6/16
1.875,1.875,3/6/16
1.625,2.5,3/6/16
5.864,4.636,3/6/16
1.125,0.25,3/6/16
5.0,3.125,3/6/16
3.875,3.0,3/7/16
5.125,5.625,3/7/16
3.5,2.0,3/7/16
0.25,0.375,3/7/16
1.125,0.125,3/7/16
0.375,0.625,3/7/16
1.0,0.25,3/7/16
0.625,0.625,3/7/16
5.583,4.167,3/7/16
14.625,13.375,3/8/16
4.125,0.875,3/8/16
12.75,4.5,3/8/16
2.5,0.625,3/8/16
3.25,2.0,3/8/16
5.375,3.125,3/8/16
7.5,2.875,3/8/16
2.625,1.75,3/8/16
4.25,2.625,3/8/16
7.25,10.375,3/8/16
0.375,0.0,3/8/16
0.125,0.875,3/8/16
1.5,0.375,3/8/16
2.625,1.75,3/9/16
10.5,8.5,3/9/16
2.625,1.375,3/9/16
1.25,0.75,3/9/16
2.375,0.125,3/9/16
12.375,5.125,3/9/16
5.875,2.125,3/9/16
3.25,0.125,3/9/16
3.75,0.0,3/9/16
11.125,4.875,3/9/16
1.0,0.375,3/9/16
0.5,0.875,3/10/16
1.25,1.125,3/11/16
3.125,0.625,3/11/16
4.125,2.5,3/11/16
7.625,2.625,3/11/16
1.0,0.875,3/11/16
0.0,0.0,3/11/16
3.625,2.875,3/11/16
2.375,4.0,3/12/16
0.5,0.125,3/12/16
2.875,2.0,3/12/16
3.0,2.375,3/12/16
2.625,2.75,3/12/16
2.5,1.25,3/12/16
3.75,1.375,3/12/16
0.5,0.125,3/12/16
0.375,0.125,3/12/16
0.125,0.75,3/12/16
2.875,3.5,3/13/16
2.0,1.375,3/13/16
2.0,1.125,3/13/16
9.125,8.625,3/13/16
2.5,1.75,3/13/16
1.75,0.0,3/13/16
2.0,0.125,3/14/16
1.375,0.5,3/14/16
2.375,0.875,3/14/16
0.0,0.0,3/14/16
1.0,0.0,3/14/16
0.375,0.25,3/14/16
3.375,3.25,3/15/16
5.625,4.125,3/15/16
4.0,0.875,3/15/16
0.25,1.5,3/15/16
4.25,0.375,3/15/16
2.375,1.125,3/15/16
2.625,0.875,3/15/16
0.375,0.0,3/15/16
4.375,6.125,3/16/16
1.5,1.0,3/16/16
1.375,1.25,3/16/16
4.625,2.75,3/16/16
3.0,2.875,3/16/16
0.25,0.375,3/16/16
0.75,0.0,3/16/16
0.0,0.0,3/17/16
0.5,0.0,3/17/16
0.375,0.0,3/17/16
0.0,0.125,3/17/16
18.0,13.375,3/18/16
6.875,8.125,3/18/16
3.875,1.625,3/18/16
3.25,1.375,3/18/16
1.0,0.5,3/18/16
5.25,2.375,3/18/16
1.25,1.75,3/18/16
7.75,4.25,3/18/16
0.375,0.75,3/18/16
1.375,0.125,3/18/16
0.0,0.25,3/18/16
0.75,0.0,3/18/16
0.0,0.375,3/18/16
0.375,0.625,3/18/16
3.875,1.75,3/19/16
4.25,3.625,3/19/16
4.625,2.25,3/19/16
0.625,0.125,3/19/16
0.25,0.125,3/19/16
1.25,0.875,3/19/16
1.875,1.75,3/19/16
1.25,0.0,3/19/16
0.0,0.0,3/19/16
0.875,0.0,3/19/16
0.375,0.375,3/19/16
0.375,0.0,3/19/16
0.0,0.125,3/19/16
1.75,3.75,3/20/16
1.0,0.0,3/20/16
1.5,1.25,3/20/16
2.25,3.125,3/20/16
8.5,9.5,3/20/16
3.625,1.375,3/20/16
1.5,1.5,3/20/16
1.25,0.875,3/20/16
0.375,0.0,3/20/16
3.5,3.75,3/20/16
0.25,0.625,3/21/16
1.625,1.875,3/21/16
4.25,2.625,3/21/16
3.375,1.5,3/21/16
2.625,2.625,3/21/16
0.0,0.0,3/21/16
0.375,0.0,3/21/16
0.75,0.875,3/21/16
8.375,5.25,3/22/16
5.125,2.625,3/22/16
3.5,1.875,3/22/16
3.0,2.0,3/22/16
1.25,0.125,3/22/16
0.5,0.625,3/22/16
0.375,0.125,3/23/16
1.25,2.5,3/23/16
1.75,1.0,3/23/16
3.5,3.875,3/23/16
3.375,2.375,3/23/16
1.5,0.0,3/23/16
2.75,1.75,3/23/16
1.125,0.75,3/23/16
0.875,0.875,3/24/16
0.375,0.0,3/24/16
0.0,0.0,3/24/16
3.875,3.0,3/25/16
9.0,2.875,3/25/16
1.125,2.0,3/25/16
1.125,3.625,3/25/16
3.875,4.375,3/25/16
3.625,2.75,3/25/16
0.5,0.25,3/25/16
1.0,0.125,3/25/16
3.0,2.375,3/26/16
4.875,4.0,3/26/16
1.25,0.875,3/26/16
3.625,2.125,3/26/16
7.75,3.25,3/26/16
3.25,0.25,3/26/16
0.5,0.125,3/26/16
5.125,2.25,3/26/16
0.5,0.125,3/26/16
5.25,5.75,3/27/16
3.875,1.0,3/27/16
3.125,1.5,3/27/16
1.875,0.625,3/27/16
4.875,2.25,3/27/16
4.5,6.0,3/27/16
1.25,3.25,3/27/16
0.5,3.25,3/27/16
2.0,4.75,3/27/16
1.5,4.5,3/27/16
3.75,1.75,3/28/16
1.875,0.75,3/28/16
4.25,3.5,3/28/16
1.25,1.875,3/28/16
0.75,0.375,3/28/16
5.125,4.875,3/29/16
0.125,0.625,3/29/16
1.25,0.0,3/29/16
4.375,2.75,3/30/16
0.0,1.875,3/30/16
5.25,1.75,3/30/16
6.5,2.5,3/30/16
2.75,3.25,3/30/16
4.875,4.5,3/30/16
2.75,2.0,3/30/16
1.75,0.5,3/30/16
0.5,0.0,3/30/16
1.125,0.625,3/30/16
2.25,1.5,3/30/16
2.125,0.75,3/30/16
3.75,6.625,3/31/16
1.75,3.25,3/31/16
2.375,5.625,3/31/16
5.25,4.0,3/31/16
2.875,1.75,3/31/16
0.0,0.5,3/31/16
2.875,1.75,4/1/16
5.625,3.5,4/1/16
3.875,3.125,4/1/16
0.125,0.25,4/1/16
0.5,0.875,4/1/16
1.5,0.75,4/2/16
0.625,0.875,4/2/16
0.625,0.875,4/3/16
1.125,1.0,4/3/16
3.0,3.75,4/3/16
4.375,3.625,4/3/16
5.75,5.875,4/3/16
0.375,1.375,4/3/16
0.625,0.875,4/3/16
0.0,0.0,4/4/16
14.625,13.5,4/4/16
0.625,0.25,4/4/16
11.875,9.875,4/4/16
5.25,6.0,4/4/16
1.75,0.25,4/4/16
1.625,1.375,4/5/16
11.375,4.25,4/5/16
0.375,0.5,4/5/16
1.875,2.125,4/6/16
7.75,4.625,4/6/16
8.625,2.0,4/6/16
1.375,0.625,4/6/16
1.0,0.125,4/7/16
0.0,0.0,4/7/16
10.5,3.625,4/8/16
3.125,1.375,4/8/16
7.375,3.25,4/8/16
1.25,2.5,4/8/16
8.875,4.25,4/8/16
4.5,1.375,4/8/16
3.5,11.125,4/10/16
1.375,2.375,4/10/16
2.5,2.25,4/10/16
10.875,5.625,4/10/16
0.0,0.25,4/10/16
4.5,2.375,4/11/16
8.5,5.125,4/11/16
2.875,0.125,4/11/16
1.375,1.625,4/11/16
4.125,3.375,4/11/16
7.125,1.75,4/12/16
4.75,2.875,4/12/16
4.125,2.625,4/12/16
1.0,0.25,4/12/16
5.875,3.0,4/13/16
6.75,2.125,4/13/16
0.75,0.0,4/13/16
0.5,0.125,4/13/16
9.5,5.75,4/13/16
0.25,0.25,4/14/16
3.375,2.625,4/14/16
4.5,3.5,4/14/16
5.5,1.375,4/15/16
0.375,2.125,4/15/16
3.625,7.625,4/15/16
1.125,0.625,4/15/16
1.25,0.0,4/15/16
0.5,0.0,4/16/16
1.125,0.125,4/17/16
0.0,0.375,4/18/16
0.625,0.375,4/18/16
0.0,0.625,4/18/16
4.694,2.556,4/18/16
3.375,4.125,4/18/16
4.625,4.25,4/18/16
3.5,2.25,4/18/16
3.25,6.75,4/18/16
0.25,0.75,4/19/16
4.5,2.25,4/19/16
4.25,3.875,4/19/16
0.5,0.625,4/20/16
2.75,0.0,4/20/16
5.75,3.875,4/20/16
5.375,6.125,4/21/16
0.0,0.0,4/21/16
5.75,4.875,4/21/16
9.875,5.5,4/22/16
5.625,5.25,4/22/16
0.375,0.25,4/22/16
0.125,0.625,4/23/16
1.0,0.625,4/23/16
0.125,1.75,4/24/16
0.0,0.0,4/24/16
6.875,4.5,4/25/16
2.5,2.25,4/25/16
4.25,3.875,4/25/16
0.625,0.25,4/25/16
0.125,0.625,4/25/16
0.75,0.75,4/25/16
0.25,0.0,4/25/16
6.5,1.0,4/26/16
5.375,7.125,4/26/16
9.875,4.5,4/26/16
0.0,0.0,4/26/16
1.0,2.5,4/26/16
2.625,1.5,4/27/16
1.625,2.875,4/27/16
0.25,0.75,4/27/16
0.125,0.0,4/27/16
0.625,0.5,4/27/16
0.125,1.125,4/27/16
0.0,0.0,4/27/16
7.625,2.25,4/27/16
0.5,0.125,4/27/16
17.0,2.0,4/28/16
0.375,0.25,4/28/16
0.375,0.5,4/28/16
0.375,0.0,4/28/16
4.125,5.125,4/29/16
1.625,2.25,4/29/16
0.875,0.0,4/29/16
0.625,0.75,4/30/16
1.25,0.625,5/1/16
8.443999999999999,6.056,5/1/16
5.0,3.625,5/1/16
3.0,2.25,5/2/16
4.375,0.75,5/2/16
0.0,0.0,5/2/16
1.0,0.0,5/2/16
1.125,0.25,5/2/16
0.75,3.0,5/2/16
4.875,0.625,5/3/16
3.5,2.75,5/3/16
1.625,0.375,5/3/16
0.0,0.0,5/3/16
1.125,0.25,5/3/16
2.25,0.75,5/3/16
0.5,0.625,5/3/16
0.375,0.375,5/3/16
2.625,4.125,5/4/16
4.375,2.5,5/4/16
1.25,0.375,5/4/16
0.5,0.625,5/4/16
1.0,0.125,5/4/16
2.25,0.25,5/4/16
2.125,0.25,5/4/16
0.75,0.0,5/4/16
0.5,1.75,5/4/16
3.125,2.5,5/5/16
0.125,0.875,5/5/16
1.375,0.25,5/5/16
0.25,0.25,5/6/16
7.375,4.25,5/6/16
0.375,1.875,5/6/16
0.625,1.25,5/6/16
0.375,0.625,5/7/16
0.375,0.625,5/7/16
0.25,0.25,5/8/16
1.75,1.25,5/8/16
4.0,6.0,5/8/16
0.125,0.25,5/9/16
0.625,0.0,5/9/16
0.25,2.0,5/9/16
0.5,1.875,5/9/16
0.375,0.375,5/9/16
2.375,0.375,5/10/16
0.125,0.875,5/10/16
1.0,2.0,5/10/16
1.0,0.5,5/10/16
2.875,1.25,5/10/16
10.625,11.25,5/11/16
2.25,1.5,5/11/16
4.5,3.875,5/11/16
1.75,0.0,5/11/16
4.0,2.0,5/11/16
1.125,0.0,5/11/16
0.125,0.25,5/11/16
2.5,4.0,5/11/16
5.0,0.5,5/12/16
0.125,0.5,5/12/16
0.0,0.75,5/12/16
0.125,0.375,5/12/16
4.25,1.125,5/13/16
8.0,7.125,5/13/16
16.125,13.0,5/13/16
2.0,2.75,5/13/16
0.0,1.25,5/14/16
0.25,0.0,5/14/16
0.0,0.0,5/14/16
1.25,0.0,5/14/16
5.625,2.5,5/15/16
6.5,8.75,5/15/16
3.5,1.125,5/15/16
3.5,4.75,5/15/16
1.25,2.0,5/16/16
0.375,1.375,5/16/16
0.125,0.0,5/16/16
0.5,0.0,5/16/16
5.25,3.125,5/17/16
0.375,0.25,5/17/16
0.625,0.625,5/17/16
1.125,3.75,5/17/16
6.75,2.0,5/18/16
0.125,0.0,5/18/16
0.0,0.0,5/18/16
0.75,0.125,5/18/16
0.125,0.375,5/18/16
2.25,3.0,5/18/16
4.375,0.25,5/18/16
4.5,1.625,5/19/16
12.375,7.375,5/19/16
7.75,5.25,5/19/16
0.125,0.0,5/19/16
1.125,0.5,5/19/16
0.625,0.0,5/19/16
14.0,9.375,5/19/16
10.364,11.136,5/19/16
7.125,4.25,5/20/16
14.875,13.75,5/20/16
19.125,13.125,5/20/16
7.375,1.875,5/20/16
0.125,0.25,5/20/16
1.875,1.25,5/20/16
0.125,0.75,5/20/16
2.625,1.75,5/20/16
0.75,0.875,5/21/16
0.375,0.75,5/21/16
0.25,0.25,5/21/16
0.125,0.25,5/21/16
3.875,3.75,5/21/16
6.625,5.5,5/21/16
3.875,4.625,5/22/16
3.625,2.125,5/22/16
0.375,0.25,5/22/16
0.0,0.0,5/22/16
0.0,0.0,5/23/16
0.25,1.0,5/23/16
0.5,0.25,5/23/16
1.875,0.625,5/23/16
1.125,2.25,5/24/16
10.875,7.125,5/24/16
0.0,1.625,5/24/16
0.0,0.0,5/24/16
3.625,2.25,5/25/16
0.125,0.0,5/25/16
1.125,0.875,5/25/16
0.875,1.0,5/25/16
0.375,0.75,5/25/16
0.25,0.375,5/26/16
0.875,0.0,5/26/16
1.625,0.25,5/26/16
0.125,0.625,5/26/16
0.5,1.125,5/26/16
0.25,0.625,5/26/16
0.0,0.75,5/27/16
0.875,0.625,5/27/16
0.5,0.0,5/27/16
13.625,5.5,5/27/16
0.625,0.0,5/27/16
0.25,0.75,5/28/16
0.375,0.75,5/28/16
0.375,0.125,5/28/16
0.375,0.5,5/29/16
0.5,0.75,5/29/16
1.375,0.0,5/29/16
1.0,0.0,5/29/16
0.625,0.375,5/29/16
0.25,2.125,5/29/16
0.875,0.375,5/30/16
0.25,0.125,5/30/16
0.875,0.25,5/30/16
1.0,0.625,5/30/16
0.5,0.0,5/31/16
0.5,0.125,5/31/16
0.0,0.0,5/31/16
0.125,0.0,5/31/16
0.375,0.25,5/31/16
1.125,0.375,5/31/16
0.625,0.25,5/31/16
1.0,0.0,6/1/16
0.0,0.0,6/1/16
0.625,0.375,6/1/16
0.75,1.25,6/1/16
1.625,0.625,6/1/16
0.5,0.0,6/1/16
0.75,0.0,6/1/16
0.875,0.25,6/1/16
0.25,1.125,6/1/16
0.5,0.5,6/2/16
0.0,0.0,6/2/16
0.0,0.5,6/2/16
0.25,1.0,6/2/16
0.25,1.25,6/2/16
0.125,0.0,6/2/16
1.25,0.5,6/2/16
0.875,1.0,6/2/16
2.625,1.625,6/3/16
5.0,5.75,6/3/16
5.875,2.0,6/3/16
0.0,0.0,6/3/16
9.375,7.125,6/3/16
0.75,0.375,6/3/16
1.472,2.028,6/3/16
1.5,1.5,6/3/16
0.125,0.375,6/3/16
0.625,0.0,6/3/16
3.125,1.0,6/3/16
0.375,0.0,6/3/16
0.75,0.25,6/3/16
1.125,0.0,6/3/16
0.25,0.375,6/3/16
0.375,0.25,6/3/16
0.125,0.0,6/3/16
5.25,3.5,6/4/16
9.75,4.75,6/4/16
2.25,0.125,6/4/16
5.625,1.75,6/4/16
0.25,0.25,6/4/16
1.125,0.0,6/4/16
1.375,1.25,6/4/16
17.75,14.25,6/4/16
0.0,0.75,6/4/16
0.25,0.875,6/4/16
0.125,1.5,6/4/16
0.5,0.125,6/5/16
1.25,1.125,6/5/16
7.25,7.25,6/5/16
5.8469999999999995,6.6530000000000005,6/5/16
1.375,0.0,6/5/16
0.375,0.375,6/5/16
1.5,1.0,6/6/16
0.375,0.0,6/6/16
2.875,2.25,6/6/16
0.5,0.625,6/6/16
4.125,4.0,6/6/16
5.75,4.125,6/6/16
3.75,6.25,6/6/16
0.25,0.75,6/6/16
2.5,1.25,6/6/16
1.625,0.0,6/6/16
5.375,2.875,6/7/16
0.375,0.0,6/7/16
0.0,0.125,6/7/16
1.5,2.0,6/7/16
0.0,0.25,6/7/16
1.125,1.875,6/7/16
6.125,1.875,6/7/16
0.5,0.25,6/7/16
5.75,4.0,6/7/16
5.625,5.625,6/7/16
0.5,0.25,6/7/16
0.75,0.25,6/7/16
0.0,0.0,6/8/16
0.125,0.375,6/8/16
11.625,6.0,6/8/16
13.0,7.75,6/8/16
0.375,0.375,6/8/16
0.875,0.875,6/8/16
4.625,3.375,6/8/16
0.375,0.0,6/8/16
3.875,9.75,6/9/16
5.5,2.5,6/9/16
1.625,0.0,6/9/16
0.75,0.125,6/9/16
1.0,0.125,6/9/16
0.75,0.875,6/9/16
1.375,0.375,6/9/16
0.5,0.0,6/9/16
1.375,0.25,6/9/16
0.25,1.625,6/9/16
0.25,0.125,6/10/16
4.75,7.75,6/10/16
0.375,0.0,6/10/16
6.625,1.875,6/10/16
0.125,0.25,6/10/16
3.0,4.5,6/10/16
5.875,5.625,6/10/16
2.625,4.0,6/10/16
0.875,0.0,6/10/16
2.875,6.25,6/10/16
0.375,0.875,6/10/16
8.125,2.75,6/10/16
0.0,0.125,6/11/16
0.5,0.375,6/11/16
4.5,4.0,6/11/16
0.375,0.0,6/11/16
8.25,3.25,6/11/16
2.125,0.625,6/11/16
6.125,4.125,6/11/16
7.375,1.375,6/11/16
1.125,1.0,6/11/16
6.875,8.875,6/11/16
5.0,5.0,6/11/16
0.375,0.125,6/11/16
1.875,0.625,6/11/16
0.25,0.625,6/12/16
0.0,0.875,6/12/16
4.0,2.375,6/12/16
8.625,3.75,6/12/16
1.375,1.125,6/12/16
5.625,5.375,6/12/16
4.0,4.5,6/12/16
0.875,0.0,6/12/16
2.75,1.375,6/13/16
0.0,1.25,6/13/16
1.875,4.375,6/13/16
3.5,1.0,6/13/16
1.625,0.125,6/13/16
0.5,0.25,6/13/16
0.125,0.125,6/13/16
0.375,2.0,6/13/16
6.625,5.375,6/13/16
0.0,0.5,6/13/16
15.25,9.0,6/13/16
0.75,1.25,6/13/16
0.625,0.625,6/14/16
1.375,0.625,6/14/16
0.125,0.25,6/14/16
1.5,0.125,6/14/16
0.25,0.0,6/14/16
0.625,0.125,6/14/16
11.375,6.125,6/14/16
2.875,3.125,6/14/16
1.75,0.625,6/14/16
9.5,11.0,6/14/16
3.5,4.875,6/14/16
0.875,0.125,6/14/16
0.125,0.625,6/14/16
0.875,1.625,6/15/16
0.0,0.125,6/15/16
0.25,0.5,6/15/16
2.5,1.0,6/15/16
6.75,9.75,6/15/16
6.0,6.5,6/15/16
0.125,0.125,6/15/16
0.25,0.75,6/15/16
1.0,0.25,6/15/16
2.25,0.25,6/16/16
0.125,0.375,6/16/16
