positive,negative,date
2.75,1.375,8/1/15
11.125,7.75,8/2/15
2.0,1.25,8/3/15
6.0,1.5,8/4/15
8.125,8.375,8/5/15
16.875,3.625,8/6/15
0.125,0.0,8/7/15
2.5,2.5,8/8/15
3.75,5.25,8/10/15
4.25,1.375,8/11/15
3.75,2.625,8/11/15
2.625,6.25,8/11/15
5.75,5.375,8/12/15
4.25,7.625,8/12/15
5.625,6.625,8/13/15
0.0,0.0,8/17/15
9.125,8.75,8/17/15
15.5,7.0,8/18/15
6.0,6.875,8/19/15
6.625,11.5,8/20/15
8.625,12.0,8/21/15
6.875,5.5,8/22/15
16.625,8.125,8/23/15
0.125,0.125,8/24/15
10.75,19.25,8/24/15
1.125,0.5,8/24/15
7.875,8.75,8/24/15
8.125,8.25,8/25/15
5.25,4.75,8/25/15
11.5,16.125,8/25/15
8.125,12.625,8/25/15
6.25,7.875,8/26/15
5.125,2.5,8/27/15
4.5,8.5,8/27/15
13.0,4.125,8/28/15
0.875,0.625,8/28/15
8.625,5.25,8/28/15
10.125,3.5,8/29/15
0.375,1.625,8/29/15
3.875,5.375,9/1/15
0.25,0.125,9/1/15
6.125,5.125,9/2/15
16.125,10.25,9/3/15
10.25,10.125,9/4/15
0.125,1.25,9/5/15
7.375,4.5,9/5/15
2.25,5.0,9/7/15
4.25,6.25,9/7/15
1.625,2.625,9/8/15
6.5,9.0,9/8/15
3.0,0.75,9/9/15
5.0,3.75,9/9/15
16.75,11.75,9/9/15
3.25,4.75,9/9/15
4.125,7.125,9/9/15
2.25,0.5,9/10/15
8.0,7.5,9/10/15
3.125,1.625,9/11/15
14.25,8.0,9/11/15
3.875,1.875,9/12/15
1.0,1.0,9/12/15
3.5,3.25,9/14/15
7.0,9.0,9/14/15
0.75,0.0,9/15/15
6.125,5.375,9/15/15
11.5,7.25,9/16/15
5.75,7.625,9/17/15
2.75,1.75,9/18/15
5.375,5.125,9/21/15
11.833,8.167,9/22/15
0.0,0.25,9/23/15
6.125,8.125,9/23/15
5.375,6.0,9/24/15
8.5,6.0,9/28/15
1.375,2.625,9/28/15
0.0,0.25,9/29/15
11.0,10.25,9/29/15
1.25,1.875,9/30/15
1.125,0.625,9/30/15
7.0,8.625,9/30/15
0.5,6.5,10/1/15
2.0,2.125,10/1/15
4.25,0.5,10/2/15
2.125,2.75,10/4/15
7.25,7.875,10/5/15
14.375,5.625,10/5/15
7.5,11.25,10/5/15
1.25,2.75,10/6/15
3.125,0.25,10/6/15
6.0,7.125,10/7/15
1.375,1.125,10/7/15
0.375,3.125,10/8/15
14.25,8.0,10/8/15
0.375,0.25,10/11/15
2.375,1.75,10/13/15
2.5,0.75,10/14/15
2.375,5.125,10/15/15
0.875,0.25,10/16/15
0.375,0.5,10/17/15
0.5,0.625,10/19/15
5.875,6.0,10/19/15
2.875,5.125,10/21/15
2.875,0.25,10/22/15
1.5,0.125,10/22/15
4.375,6.375,10/22/15
14.875,13.125,10/26/15
4.625,4.125,10/27/15
4.125,5.0,10/27/15
0.25,0.125,10/28/15
0.75,0.75,10/28/15
4.25,4.25,10/28/15
8.875,6.75,10/29/15
1.375,0.25,11/1/15
1.125,0.75,11/2/15
9.375,10.5,11/2/15
3.625,6.125,11/3/15
5.25,3.5,11/4/15
2.875,0.375,11/5/15
4.75,4.25,11/5/15
6.625,6.5,11/6/15
